,A,B
0, C H E E H H,3
0, C H E E H E,0
0, C H E E E C,257
0, C H E E E H,1
0, C H E E E E,654
0, C E C C C C,36276
0, C E C C C H,2807
0, C E C C C E,2013
0, C E C C H C,206
0, C E C C H H,5396
0, C E C C H E,0
0, C E C C E C,367
0, C E C C E H,30
0, C E C C E E,3525
0, C E C H C C,85
0, C E C H C H,29
0, C E C H C E,1
0, C E C H H C,139
0, C E C H H H,5370
0, C E C H H E,0
0, C E C H E C,0
0, C E C H E H,0
0, C E C H E E,0
0, C E C E C C,638
0, C E C E C H,50
0, C E C E C E,107
0, C E C E H C,1
0, C E C E H H,65
0, C E C E H E,1
0, C E C E E C,599
0, C E C E E H,7
0, C E C E E E,4293
0, C E H C C C,86
0, C E H C C H,2
0, C E H C C E,1
0, C E H C H C,4
0, C E H C H H,11
0, C E H C H E,0
0, C E H C E C,0
0, C E H C E H,0
0, C E H C E E,2
0, C E H H C C,85
0, C E H H C H,0
0, C E H H C E,10
0, C E H H H C,562
0, C E H H H H,3276
0, C E H H H E,8
0, C E H H E C,0
0, C E H H E H,2
0, C E H H E E,3
0, C E H E C C,9
0, C E H E C H,2
0, C E H E C E,0
0, C E H E H C,0
0, C E H E H H,2
0, C E H E H E,1
0, C E H E E C,7
0, C E H E E H,4
0, C E H E E E,11
0, C E E C C C,60091
0, C E E C C H,6570
0, C E E C C E,4793
0, C E E C H C,89
0, C E E C H H,6819
0, C E E C H E,1
0, C E E C E C,654
0, C E E C E H,125
0, C E E C E E,1877
0, C E E H C C,112
0, C E E H C H,9
0, C E E H C E,1
0, C E E H H C,107
0, C E E H H H,3106
0, C E E H H E,2
0, C E E H E C,2
0, C E E H E H,5
0, C E E H E E,2
0, C E E E C C,86900
0, C E E E C H,7532
0, C E E E C E,2617
0, C E E E H C,30
0, C E E E H H,4223
0, C E E E H E,4
0, C E E E E C,161623
0, C E E E E H,4204
0, C E E E E E,459304
0, H C C C C C,424375
0, H C C C C H,67336
0, H C C C C E,105814
0, H C C C H C,2122
0, H C C C H H,63500
0, H C C C H E,114
0, H C C C E C,4060
0, H C C C E H,393
0, H C C C E E,94398
0, H C C H C C,1135
0, H C C H C H,428
0, H C C H C E,39
0, H C C H H C,1836
0, H C C H H H,52099
0, H C C H H E,35
0, H C C H E C,1
0, H C C H E H,2
0, H C C H E E,29
0, H C C E C C,1940
0, H C C E C H,91
0, H C C E C E,252
0, H C C E H C,0
0, H C C E H H,96
0, H C C E H E,2
0, H C C E E C,3199
0, H C C E E H,110
0, H C C E E E,37981
0, H C H C C C,3225
0, H C H C C H,609
0, H C H C C E,490
0, H C H C H C,244
0, H C H C H H,358
0, H C H C H E,98
0, H C H C E C,32
0, H C H C E H,0
0, H C H C E E,246
0, H C H H C C,2129
0, H C H H C H,163
0, H C H H C E,350
0, H C H H H C,5782
0, H C H H H H,37465
0, H C H H H E,1228
0, H C H H E C,13
0, H C H H E H,4
0, H C H H E E,58
0, H C H E C C,4
0, H C H E C H,0
0, H C H E C E,8
0, H C H E H C,0
0, H C H E H H,0
0, H C H E H E,0
0, H C H E E C,31
0, H C H E E H,0
0, H C H E E E,299
0, H C E C C C,1644
0, H C E C C H,184
0, H C E C C E,124
0, H C E C H C,7
0, H C E C H H,187
0, H C E C H E,0
0, H C E C E C,12
0, H C E C E H,0
0, H C E C E E,91
0, H C E H C C,0
0, H C E H C H,0
0, H C E H C E,0
0, H C E H H C,2
0, H C E H H H,10
0, H C E H H E,0
0, H C E H E C,0
0, H C E H E H,0
0, H C E H E E,0
0, H C E E C C,2685
0, H C E E C H,88
